interactor	score
ID2	0.428
PRTN3	0.473
PRTN3	0.473
SELL	0.753
SELL	0.753
MMP8	0.4
MMP8	0.4
EGR1	0.512
EGR1	0.512
KLRK1	0.562
KLRK1	0.562
TNFSF10	0.4
TNFSF10	0.4
FLT3	0.404
FLT3	0.404
AHR	0.671
AHR	0.671
TNFAIP6	0.542
TNFAIP6	0.542
TREM1	0.429
TREM1	0.429
IRF1	0.446
IRF1	0.446
SOX9	0.468
SOX9	0.468
NT5C	0.482
NT5C	0.482
CD70	0.429
CD70	0.429
C3	0.428
C3	0.428
CCR7	0.677
CCR7	0.677
LIF	0.426
LIF	0.426
DLL4	0.537
DLL4	0.537
ACKR4	0.473
ACKR4	0.473
CD68	0.578
CD68	0.578
APOE	0.422
APOE	0.422
CAPN7	0.424
CAPN7	0.424
CRP	0.827
CRP	0.827
KRAS	0.56
KRAS	0.56
NT5E	0.493
NT5E	0.493
IL36G	0.403
IL36G	0.403
IL1RN	0.639
IL1RN	0.639
IL36A	0.425
IL36A	0.425
IL36B	0.619
IL36B	0.619
CCL21	0.53
CCL21	0.53
CCL27	0.669
CCL27	0.669
TLR2	0.745
TLR2	0.745
MMP7	0.639
MMP7	0.639
MMP13	0.654
MMP13	0.654
BCL2L10	0.44
BCL2L10	0.44
RORA	0.528
RORA	0.528
TAOK1	0.409
TAOK1	0.409
CDH1	0.4
CDH1	0.4
PDGFRB	0.492
PDGFRB	0.492
SMAD2	0.4
SMAD2	0.4
IL12RB2	0.52
IL12RB2	0.52
TRAF4	0.527
TRAF4	0.527
MAPK3	0.543
MAPK3	0.543
ITGAE	0.682
ITGAE	0.682
EP300	0.457
EP300	0.457
IL37	0.524
IL37	0.524
IL1A	0.743
IL1A	0.743
IL1B	0.911
IL1B	0.911
IL27RA	0.55
IL27RA	0.55
LY75	0.422
LY75	0.422
SELP	0.674
SELP	0.674
IL7	0.873
IL7	0.873
GNLY	0.42
GNLY	0.42
CD80	0.713
CD80	0.713
IL1RL2	0.474
IL1RL2	0.474
IL21	0.835
IL21	0.835
FGF2	0.557
FGF2	0.557
IL11	0.63
IL11	0.63
STAT3	0.993
STAT3	0.993
DNMT3A	0.427
DNMT3A	0.427
ICAM1	0.802
ICAM1	0.802
SLC9A3	0.519
SLC9A3	0.519
ZAP70	0.45
ZAP70	0.45
VCAN	0.567
VCAN	0.567
EGF	0.55
EGF	0.55
CREM	0.524
CREM	0.524
SLC26A4	0.585
SLC26A4	0.585
CD27	0.659
CD27	0.659
BCL2A1	0.505
