	IL1B	IL2	IL4	IL5	IL6	IL7	CXCL8	IL10	IL12B	IL13	IL17A	CSF3	CSF2	IFNG	CCL2	CCL4	TNF	IL1RN	IL9	IL15	CCL11	FGF2	CXCL10	PDGFB	CCL5	VEGFA	CCL3
IL17A	4.714285714285714	4.714285714285714	4.428571428571429	9.857142857142858	3.142857142857143	5.142857142857143	9.428571428571429	10.0	4.0	11.0	0.0	9.142857142857142	1.7142857142857142	12.857142857142858	13.285714285714286	10.714285714285714	11.857142857142858	9.714285714285714	12.0	4.857142857142857	12.857142857142858	2.0	8.142857142857142	3.7142857142857144	12.285714285714286	6.428571428571429	9.142857142857142
CSF3	10.142857142857142	9.571428571428571	9.571428571428571	8.428571428571429	8.857142857142858	10.857142857142858	12.0	13.714285714285714	9.714285714285714	12.428571428571429	9.142857142857142	0.0	9.142857142857142	8.571428571428571	7.285714285714286	8.142857142857142	11.0	8.857142857142858	15.142857142857142	8.571428571428571	10.857142857142858	8.285714285714286	11.285714285714286	9.714285714285714	12.285714285714286	8.142857142857142	2.5714285714285716
CSF2	5.285714285714286	6.142857142857143	4.142857142857143	10.428571428571429	4.0	5.714285714285714	8.857142857142858	10.571428571428571	5.428571428571429	12.428571428571429	1.7142857142857142	9.142857142857142	0.0	13.714285714285714	14.142857142857142	11.285714285714286	12.714285714285714	9.142857142857142	12.571428571428571	5.428571428571429	13.714285714285714	3.142857142857143	7.571428571428571	4.285714285714286	12.571428571428571	7.285714285714286	9.142857142857142
IFNG	14.142857142857142	11.0	13.857142857142858	9.857142857142858	12.0	13.714285714285714	10.0	14.285714285714286	11.428571428571429	12.142857142857142	12.857142857142858	8.571428571428571	13.714285714285714	0.0	2.142857142857143	8.714285714285714	9.571428571428571	14.571428571428571	14.857142857142858	10.857142857142858	6.285714285714286	11.714285714285714	10.714285714285714	12.285714285714286	13.428571428571429	10.142857142857142	8.0
CCL2	14.571428571428571	11.428571428571429	14.285714285714286	8.0	12.428571428571429	14.142857142857142	9.857142857142858	13.857142857142858	11.857142857142858	12.0	13.285714285714286	7.285714285714286	14.142857142857142	2.142857142857143	0.0	7.142857142857143	9.428571428571429	12.714285714285714	13.285714285714286	11.285714285714286	5.857142857142857	12.142857142857142	10.571428571428571	12.714285714285714	11.571428571428571	10.571428571428571	6.428571428571429
CCL4	13.142857142857142	8.285714285714286	12.571428571428571	11.428571428571429	11.571428571428571	13.0	9.0	9.857142857142858	8.428571428571429	7.428571428571429	10.714285714285714	8.142857142857142	11.285714285714286	8.714285714285714	7.142857142857143	0.0	4.0	11.285714285714286	10.714285714285714	7.571428571428571	5.0	9.857142857142858	7.428571428571429	8.714285714285714	9.571428571428571	8.571428571428571	7.857142857142857
TNF	11.142857142857142	8.0	11.142857142857142	14.571428571428571	12.428571428571429	11.285714285714286	10.428571428571429	9.571428571428571	8.428571428571429	4.857142857142857	11.857142857142858	11.0	12.714285714285714	9.571428571428571	9.428571428571429	4.0	0.0	14.428571428571429	9.857142857142858	7.857142857142857	4.142857142857143	11.571428571428571	9.142857142857142	9.285714285714286	12.714285714285714	7.428571428571429	11.0
IL1RN	11.857142857142858	10.714285714285714	12.428571428571429	5.285714285714286	12.571428571428571	14.857142857142858	10.857142857142858	7.428571428571429	10.571428571428571	11.571428571428571	9.714285714285714	8.857142857142858	9.142857142857142	14.571428571428571	12.714285714285714	11.285714285714286	14.428571428571429	0.0	7.142857142857143	10.857142857142858	12.571428571428571	9.714285714285714	11.571428571428571	11.142857142857142	4.857142857142857	13.857142857142858	8.571428571428571
IL9	11.285714285714286	9.285714285714286	12.714285714285714	7.571428571428571	14.0	13.428571428571429	11.714285714285714	2.5714285714285716	9.714285714285714	5.285714285714286	12.0	15.142857142857142	12.571428571428571	14.857142857142858	13.285714285714286	10.714285714285714	9.857142857142858	7.142857142857143	0.0	10.857142857142858	9.714285714285714	12.285714285714286	13.0	11.714285714285714	6.0	12.142857142857142	13.714285714285714
IL15	5.571428571428571	3.5714285714285716	5.571428571428571	10.714285714285714	4.571428571428571	5.428571428571429	10.285714285714286	8.857142857142858	2.857142857142857	8.428571428571429	4.857142857142857	8.571428571428571	5.428571428571429	10.857142857142858	11.285714285714286	7.571428571428571	7.857142857142857	10.857142857142858	10.857142857142858	0.0	8.857142857142858	4.0	9.0	2.0	12.0	3.0	8.571428571428571
CCL11	13.571428571428571	9.0	13.0	12.714285714285714	13.428571428571429	13.428571428571429	9.714285714285714	9.428571428571429	9.428571428571429	7.571428571428571	12.857142857142858	10.857142857142858	13.714285714285714	6.285714285714286	5.857142857142857	5.0	4.142857142857143	12.571428571428571	9.714285714285714	8.857142857142858	0.0	12.571428571428571	9.571428571428571	10.285714285714286	11.428571428571429	9.0	10.285714285714286
FGF2	4.714285714285714	4.142857142857143	5.0	9.285714285714286	3.4285714285714284	5.142857142857143	10.571428571428571	10.285714285714286	3.4285714285714284	10.428571428571429	2.0	8.285714285714286	3.142857142857143	11.714285714285714	12.142857142857142	9.857142857142858	11.571428571428571	9.714285714285714	12.285714285714286	4.0	12.571428571428571	0.0	9.285714285714286	3.4285714285714284	12.0	5.285714285714286	8.285714285714286
CXCL10	12.285714285714286	9.428571428571429	10.0	11.142857142857142	9.571428571428571	11.0	2.4285714285714284	11.285714285714286	9.0	12.857142857142858	8.142857142857142	11.285714285714286	7.571428571428571	10.714285714285714	10.571428571428571	7.428571428571429	9.142857142857142	11.571428571428571	13.0	9.0	9.571428571428571	9.285714285714286	0.0	7.571428571428571	9.857142857142858	10.571428571428571	12.714285714285714
PDGFB	5.571428571428571	4.714285714285714	4.142857142857143	11.571428571428571	3.142857142857143	4.857142857142857	8.857142857142858	9.714285714285714	3.7142857142857144	10.142857142857142	3.7142857142857144	9.714285714285714	4.285714285714286	12.285714285714286	12.714285714285714	8.714285714285714	9.285714285714286	11.142857142857142	11.714285714285714	2.0	10.285714285714286	3.4285714285714284	7.571428571428571	0.0	12.571428571428571	4.142857142857143	9.714285714285714
CCL5	14.714285714285714	11.0	15.571428571428571	5.571428571428571	14.571428571428571	16.571428571428573	9.714285714285714	5.714285714285714	11.142857142857142	9.285714285714286	12.285714285714286	12.285714285714286	12.571428571428571	13.428571428571429	11.571428571428571	9.571428571428571	12.714285714285714	4.857142857142857	6.0	12.0	11.428571428571429	12.0	9.857142857142858	12.571428571428571	0.0	14.714285714285714	12.285714285714286
VEGFA	4.571428571428571	4.285714285714286	4.0	11.714285714285714	5.0	4.428571428571429	11.857142857142858	10.428571428571429	4.428571428571429	8.857142857142858	6.428571428571429	8.142857142857142	7.285714285714286	10.142857142857142	10.571428571428571	8.571428571428571	7.428571428571429	13.857142857142858	12.142857142857142	3.0	9.0	5.285714285714286	10.571428571428571	4.142857142857143	14.714285714285714	0.0	8.142857142857142
CCL3	10.142857142857142	9.571428571428571	9.571428571428571	7.857142857142857	8.857142857142858	10.857142857142858	12.571428571428571	13.142857142857142	9.714285714285714	11.857142857142858	9.142857142857142	2.5714285714285716	9.142857142857142	8.0	6.428571428571429	7.857142857142857	11.0	8.571428571428571	13.714285714285714	8.571428571428571	10.285714285714286	8.285714285714286	12.714285714285714	9.714285714285714	12.285714285714286	8.142857142857142	0.0
